SOLAR_RADIATION,PRECIPITATION,WIND_SPEED,LEAF_WETNESS,HC_AIR_TEMPERATURE,HC_RELATIVE_HUMIDITY,DEW_POINT
0.0,0.2,5.8,0.0,3.96,0.0,0.0
0.0,0.0,5.0,0.0,3.36,0.0,0.0
0.0,0.0,4.4,0.0,2.76,0.0,0.0
0.0,0.0,3.5,0.0,2.52,0.0,0.0
0.0,0.0,3.8,0.0,3.12,0.0,0.0
0.0,0.0,4.5,0.0,3.5,0.0,0.0
0.0,0.0,3.8,0.0,3.6,0.0,0.0
34.0,0.0,3.9,0.0,3.71,0.0,0.0
116.0,0.0,3.7,0.0,4.07,0.0,0.0
201.0,0.0,3.3,0.0,4.14,0.0,0.0
323.0,0.0,3.8,0.0,4.77,0.0,0.0
206.0,0.0,3.9,0.0,4.49,0.0,0.0
165.0,0.0,3.9,0.0,4.37,0.0,0.0
81.0,0.0,3.0,0.0,4.08,0.0,0.0
41.0,0.0,2.4,0.0,3.98,0.0,0.0
14.0,0.0,3.6,0.0,3.08,0.0,0.0
0.0,0.4,1.9,0.0,2.38,0.0,0.0
0.0,1.0,1.5,0.0,1.95,0.0,0.0
0.0,1.4,1.0,0.0,2.49,0.0,0.0
0.0,0.4,1.8,60.0,3.51,44.15,1.0
0.0,0.0,3.1,60.0,5.08,80.78,0.0
0.0,0.0,2.9,60.0,5.7,0.0,0.0
0.0,0.0,2.8,40.0,6.7,0.0,0.0
0.0,0.2,2.3,0.0,6.88,0.0,0.0
0.0,0.0,3.0,0.0,7.1,0.0,0.0
0.0,0.0,3.8,0.0,7.96,0.0,0.0
0.0,0.0,4.0,0.0,8.3,0.0,0.0
0.0,0.0,3.9,0.0,8.56,0.0,0.0
0.0,0.0,4.3,0.0,8.42,0.0,0.0
0.0,0.0,4.6,0.0,8.61,0.0,0.0
0.0,0.0,4.9,0.0,8.97,0.0,0.0
57.0,0.0,4.5,0.0,9.38,0.0,0.0
148.0,0.0,5.2,0.0,10.31,0.0,0.0
189.0,0.0,5.4,0.0,11.2,0.0,0.0
290.0,0.0,4.5,0.0,12.2,0.0,0.0
304.0,0.0,5.2,0.0,13.3,0.0,0.0
189.0,0.0,4.9,0.0,13.42,0.0,0.0
324.0,0.0,6.4,0.0,14.68,0.0,0.0
141.0,0.0,4.9,0.0,13.73,0.0,0.0
66.0,0.0,6.2,0.0,12.77,0.0,0.0
0.0,0.0,6.1,0.0,11.73,0.0,0.0
0.0,0.0,5.4,0.0,11.44,0.0,0.0
0.0,0.0,5.1,0.0,10.91,0.0,0.0
0.0,0.0,5.0,0.0,10.5,0.0,0.0
0.0,0.0,5.0,0.0,10.44,0.0,0.0
0.0,0.0,4.6,0.0,10.78,0.0,0.0
0.0,0.0,5.5,0.0,11.45,0.0,0.0
0.0,0.0,5.0,0.0,10.95,0.0,0.0
0.0,0.0,4.3,0.0,10.02,0.0,0.0
0.0,0.0,4.8,0.0,10.37,0.0,0.0
